Sentencing County,Offense Type,Sentence Years,Sentence Months
Henry,Drug Crimes,0001,006
McLean,Person Crimes,0005,000
Winnebago,Person Crimes,0002,000
Cook,Person Crimes,0004,000
Iroquois,Sex Crimes,0004,000
Cook,Person Crimes,0010,000
Henry,Person Crimes,0005,000
Vermilion,Person Crimes,0005,000
St. Clair,Person Crimes,0003,000
Tazewell,Drug Crimes,0003,000
Cumberland,Drug Crimes,0007,006
Greene,Drug Crimes,0005,000
Cook,Person Crimes,0006,000
Lake,Sex Crimes,0030,000
Dupage,Property Crimes,0001,000
Cook,Property Crimes,0002,000
Moultrie,Person Crimes,0005,000
Winnebago,Drug Crimes,0006,000
St. Clair,Drug Crimes,0002,000
Stephenson,Drug Crimes,0006,006
Cook,Person Crimes,0002,000
Cook,Person Crimes,0007,000
McDonough,Drug Crimes,0006,000
Cook,Sex Crimes,0007,000
Cook,Sex Crimes,0008,000
Cook,Person Crimes,0003,000
Marion,Person Crimes,0001,006
Johnson,Property Crimes,0004,000
Gallatin,Property Crimes,0002,000
Kankakee,Person Crimes,0004,000
Cook,Person Crimes,0008,000
St. Clair,Person Crimes,0004,000
Cook,Property Crimes,0009,000
McHenry,Drug Crimes,0003,000
Rock Island,Person Crimes,0020,000
Cook,Drug Crimes,0003,000
Adams,Property Crimes,0004,006
Marion,Drug Crimes,0002,000
Cook,Person Crimes,0002,000
Macon,Property Crimes,0003,006
Cook,Person Crimes,0007,000
Cook,Person Crimes,0040,000
Dupage,Person Crimes,0002,000
Cook,Property Crimes,0002,000
Cook,Person Crimes,0004,000
Sangamon,Drug Crimes,0007,006
Lasalle,Property Crimes,0004,000
Cook,Person Crimes,0004,000
Union,Drug Crimes,0008,000
Cook,Person Crimes,0008,000
Cook,Person Crimes,0002,000
Jackson,Person Crimes,0006,006
Ford,Drug Crimes,0005,006
Douglas,Person Crimes,0002,000
Cook,Drug Crimes,0004,000
Franklin,Person Crimes,0003,000
Cook,Person Crimes,0007,000
Will,Person Crimes,0006,000
Marion,Person Crimes,0002,000
Cook,Person Crimes,0006,000
Henderson,Drug Crimes,0005,000
Cook,Person Crimes,0005,000
Kane,Person Crimes,0004,000
Will,Property Crimes,0002,000
Cook,Person Crimes,0001,000
Cook,Person Crimes,0001,000
Cook,Property Crimes,0004,000
Madison,Drug Crimes,0004,006
Peoria,Person Crimes,0003,006
Edgar,Person Crimes,0003,003
Lake,Person Crimes,0002,000
Cook,Person Crimes,0003,000
Sangamon,Drug Crimes,0003,000
Whiteside,Sex Crimes,SDP, 
Champaign,Drug Crimes,0002,000
Cook,Property Crimes,0001,000
Champaign,Other Crimes,0002,000
Winnebago,Drug Crimes,0003,006
Edwards,Person Crimes,0004,000
Cook,Person Crimes,0040,000
Cook,Sex Crimes,0003,000
Cook,Property Crimes,0003,000
Cook,Drug Crimes,0004,000
Winnebago,Person Crimes,0003,000
McHenry,Drug Crimes,0006,000
Cook,Property Crimes,0003,000
Cook,Person Crimes,0004,006
Cook,Property Crimes,0001,000
Vermilion,Property Crimes,0002,000
Kane,Person Crimes,0015,000
Champaign,Person Crimes,0005,000
DeKalb,Person Crimes,0002,000
St. Clair,Person Crimes,0003,000
Jefferson,Drug Crimes,0003,000
Kane,Person Crimes,0000,018
Macon,Person Crimes,0015,000
Cook,Person Crimes,0000,030
Winnebago,Sex Crimes,0005,000
Macon,Person Crimes,0003,006
Schuyler,Property Crimes,0001,006
Lake,Other Crimes,0000,018
Cook,Person Crimes,0001,000
Cook,Person Crimes,0003,000
Cook,Person Crimes,0006,000
Cook,Person Crimes,0006,000
Will,Property Crimes,0003,000
Cook,Drug Crimes,0004,000
Jefferson,Person Crimes,0007,000
Will,Drug Crimes,0009,000
Winnebago,Person Crimes,0010,000
Macon,Person Crimes,0004,000
Cook,Person Crimes,0003,000
Kane,Person Crimes,0002,000
Cook,Person Crimes,0004,000
Winnebago,Drug Crimes,0003,000
Cook,Person Crimes,0001,000
DeKalb,Person Crimes,0003,000
Gallatin,Sex Crimes,0005,000
Kane,Person Crimes,0005,000
Lasalle,Property Crimes,0001,006
Cook,Person Crimes,0004,000
Will,Person Crimes,0003,000
Cook,Person Crimes,0002,000
Cook,Person Crimes,0010,000
Rock Island,Drug Crimes,0006,000
Peoria,Person Crimes,0008,000
Jefferson,Drug Crimes,0003,000
Macon,Person Crimes,0010,000
Livingston,Drug Crimes,0006,000
