"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 SU5)","2024-Oct-06 03:33 ± < 00:01","0.07427","0.07374","23.01","23.01","23.6","51 m -  110 m","0"
"(2024 TZ3)","2024-Oct-06 04:45 ± < 00:01","0.05751","0.05720","9.83","9.83","25.2","24 m -   53 m","0"
"(2022 SU21)","2024-Oct-06 05:04 ± 2_16:19","0.04488","0.00682","21.10","21.10","24.5","33 m -   74 m","0"
"(2024 TD)","2024-Oct-06 05:31 ± < 00:01","0.02480","0.02471","10.92","10.91","26.9","11 m -   25 m","0"
"(2024 RO43)","2024-Oct-06 06:20 ± < 00:01","0.06554","0.06542","7.72","7.72","24.8","30 m -   66 m","0"
"(2024 TL2)","2024-Oct-06 09:12 ± < 00:01","0.00071","0.00071","9.12","8.70","30.8","1.9 m -  4.2 m","0"
"(2018 RY1)","2024-Oct-06 12:11 ± < 00:01","0.05488","0.05488","6.69","6.68","24.6","32 m -   71 m","0"
"(2024 UJ5)","2024-Oct-06 14:25 ± < 00:01","0.06113","0.06103","7.06","7.06","25.6","20 m -   44 m","0"
"(2024 SD6)","2024-Oct-06 16:39 ± < 00:01","0.01236","0.01231","6.78","6.75","27.5","8.3 m -   18 m","0"
"(2022 FC5)","2024-Oct-06 20:22 ± < 00:01","0.04152","0.04151","19.32","19.31","24.8","29 m -   64 m","0"
"(2022 TD)","2024-Oct-06 21:48 ± < 00:01","0.05937","0.05937","8.41","8.41","27.7","7.6 m -   17 m","0"
"(2024 UP1)","2024-Oct-06 22:13 ±    00:03","0.06670","0.06602","10.33","10.32","23.8","46 m -  100 m","0"
"(2024 TY4)","2024-Oct-07 00:19 ±    00:11","0.07091","0.06988","10.55","10.54","25.6","20 m -   44 m","0"
"(2024 TR4)","2024-Oct-07 01:07 ± < 00:01","0.00075","0.00075","15.10","14.86","26.9","11 m -   25 m","2"
"(2024 TR8)","2024-Oct-07 02:46 ± < 00:01","0.08266","0.08239","8.46","8.46","25.1","25 m -   56 m","0"
"671076 (2014 FP47)","2024-Oct-07 03:33 ± < 00:01","0.03281","0.03281","8.64","8.63","22.3","92 m -  210 m","1"
"(2024 SU3)","2024-Oct-07 03:35 ± < 00:01","0.01445","0.01442","9.04","9.02","26.1","16 m -   36 m","0"
"(2024 TQ9)","2024-Oct-07 04:43 ± < 00:01","0.00075","0.00074","7.50","7.01","30.8","1.9 m -  4.2 m","0"
